"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL2449465";"";"";"Small molecule";"";"460.62";"1";"1";"4.22";"56.17";"5";"2";"0";"10";"N";"0.47";"13.85";"7.49";"5.21";"4.86";"3";"MOL";"-1";"34";"5";"2";"0";"460.2726";"-0.83";"NEUTRAL";"C29H36N2O3";"Cc1ccccc1N1CCN(C[C@@H](O)COc2ccccc2[C@@H](O)CCc2ccccc2)CC1";"OTTBAXUHHJYAOQ-NAKRPHOHSA-N"
"CHEMBL1822217";"";"";"Small molecule";"";"366.41";"1";"1";"4.65";"68.90";"5";"1";"0";"5";"N";"0.67";"7.12";"None";"4.71";"4.25";"3";"MOL";"-1";"27";"5";"1";"0";"366.1467";"1.60";"NEUTRAL";"C22H22O5";"C=CC(C)(C)c1c(OC)cc(O)c2c(=O)c(OC)c(-c3ccccc3)oc12";"BZZVOLLVOJBMOC-UHFFFAOYSA-N"
"CHEMBL4084876";"";"";"Small molecule";"";"425.84";"1";"2";"6.08";"74.69";"5";"1";"1";"4";"N";"0.32";"None";"None";"4.88";"4.88";"4";"MOL";"-1";"30";"5";"2";"1";"425.0830";"-0.39";"NEUTRAL";"C23H17ClFNO4";"COc1ccc(-c2cc(OC(C)=O)c3c(-c4c(F)cccc4Cl)c(N)oc3c2)cc1";"ODHVQERHOBGLLS-UHFFFAOYSA-N"
"CHEMBL2141998";"";"";"Small molecule";"";"450.50";"2";"2";"4.01";"79.77";"7";"0";"0";"4";"N";"0.41";"None";"3.81";"3.77";"3.77";"5";"MOL";"-1";"34";"8";"0";"0";"450.1804";"-1.48";"NEUTRAL";"C26H22N6O2";"O=C(c1ccoc1)N1CCN(c2cc(-c3ccccc3)nc3cc(-c4ccncc4)nn23)CC1";"XXCWHQXPLDWYTG-UHFFFAOYSA-N"
"CHEMBL4634143";"";"";"Unknown";"";"471.53";"2";"3";"5.15";"56.59";"5";"0";"1";"5";"N";"0.38";"None";"3.53";"4.19";"4.19";"4";"MOL";"-1";"35";"6";"0";"1";"471.1958";"-0.73";"NEUTRAL";"C28H26FN3O3";"COc1cc2c(cc1OC)CN(C(=O)/C(F)=C/c1c(-c3ccccc3)n(C)c3ncccc13)CC2";"XIFYFRQCUVUMLE-KQWNVCNZSA-N"
"CHEMBL1917502";"";"";"Small molecule";"";"333.39";"1";"2";"3.66";"48.30";"4";"0";"0";"4";"N";"0.68";"None";"None";"3.96";"3.96";"3";"MOL";"-1";"25";"4";"0";"0";"333.1365";"-0.66";"NEUTRAL";"C21H19NO3";"COC(=O)c1c(-c2ccc(C)cc2)ccn(Cc2ccccc2)c1=O";"ZAZRJRGFEISLJD-UHFFFAOYSA-N"
"CHEMBL3775015";"";"";"Small molecule";"";"560.64";"1";"1";"4.66";"108.36";"8";"1";"1";"6";"N";"0.24";"13.51";"None";"5.35";"5.35";"2";"MOL";"-1";"41";"8";"1";"1";"560.2410";"2.03";"NEUTRAL";"C33H36O8";"C=C1CC[C@H](OC(C)=O)[C@@]2(C)[C@@H](OC(=O)c3ccccc3)[C@@H](OC(=O)/C=C/c3ccccc3)[C@@H]3[C@@H](O)[C@]12OC3(C)C";"CNLUIYVFUYJZCQ-GMJRPGNXSA-N"
"CHEMBL260507";"";"";"Small molecule";"";"403.48";"3";"5";"4.58";"48.00";"4";"0";"0";"5";"N";"0.63";"None";"None";"4.21";"4.21";"3";"MOL";"-1";"30";"5";"0";"0";"403.1784";"-0.71";"NEUTRAL";"C25H25NO4";"COc1ccc(-c2ccc(C(=O)N3CCc4cc(OC)c(OC)cc4C3)cc2)cc1";"PHVQAAOWPNAOHH-UHFFFAOYSA-N"
"CHEMBL2260442";"";"";"Small molecule";"";"303.32";"3";"3";"0.38";"90.29";"6";"1";"0";"5";"N";"0.81";"12.04";"1.08";"-0.03";"-0.03";"2";"MOL";"-1";"22";"7";"1";"0";"303.1219";"-1.78";"NEUTRAL";"C15H17N3O4";"CCOC(=O)CNC(=O)Cn1c(=O)c(C)nc2ccccc21";"BLBXHMIQNCRJGX-UHFFFAOYSA-N"
"CHEMBL3764296";"";"";"Small molecule";"";"425.44";"5";"9";"3.04";"98.29";"8";"0";"0";"6";"N";"0.44";"None";"5.82";"3.18";"3.17";"3";"MOL";"-1";"31";"9";"0";"0";"425.1587";"-0.53";"NEUTRAL";"C22H23N3O6";"COc1cc(OC)c2c(=O)cc(N3CCN(Cc4ccc([N+](=O)[O-])cc4)CC3)oc2c1";"PYGMSVYZGUEQJT-UHFFFAOYSA-N"
"CHEMBL2372468";"";"";"Protein";"";"1202.63";"2";"3";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"BOTH";"-1";"None";"None";"None";"None";"1201.8414";"None";"None";"C62H111N11O12";"C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](C(C)C)C(=O)N(C)CC(=O)N(C)[C@H](CC(C)C)C(=O)N[C@H](C(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C";"UYPPEWHLQQUDPM-PNVMGJOXSA-N"
"CHEMBL4644426";"";"";"Unknown";"";"483.54";"8";"25";"4.44";"71.76";"7";"1";"0";"4";"N";"0.55";"None";"5.96";"4.43";"4.41";"3";"MOL";"-1";"35";"7";"1";"0";"483.2358";"-1.12";"NEUTRAL";"C25H28F3N7";"Cc1cc(N2C[C@H]3CC[C@@H](C2)[C@@H]3Nc2nc3n(n2)CCCC[C@H]3c2ccc(F)c(F)c2F)ncn1";"XGTZKVXMDSWEOE-FIEAQMJYSA-N"
"CHEMBL2141411";"";"";"Small molecule";"";"524.02";"1";"2";"5.69";"62.97";"6";"0";"2";"5";"N";"0.30";"None";"1.74";"6.29";"6.29";"5";"MOL";"-1";"38";"7";"0";"2";"523.1775";"-1.68";"NEUTRAL";"C30H26ClN5O2";"COc1ccc(C(=O)N2CCN(c3cc(-c4ccccc4)nc4cc(-c5cccc(Cl)c5)nn34)CC2)cc1";"SDCPLCBUKZAHLH-UHFFFAOYSA-N"
"CHEMBL2449498";"";"";"Small molecule";"";"512.63";"1";"1";"5.36";"53.01";"5";"1";"2";"10";"N";"0.29";"None";"6.63";"5.91";"5.84";"4";"MOL";"-1";"38";"5";"1";"2";"512.2475";"-1.10";"NEUTRAL";"C32H33FN2O3";"O=C(CCc1cccc2ccccc12)c1ccccc1OC[C@H](O)CN1CCN(c2ccc(F)cc2)CC1";"AQHYKALOTUQATM-MUUNZHRXSA-N"
"CHEMBL4634277";"";"";"Unknown";"";"498.55";"4";"4";"4.74";"68.10";"7";"1";"0";"5";"N";"0.51";"None";"6.58";"4.84";"4.78";"3";"MOL";"-1";"36";"7";"1";"0";"498.2355";"-1.02";"NEUTRAL";"C26H29F3N6O";"COc1cc(N2C[C@H]3CC[C@@H](C2)[C@@H]3Nc2nc3n(n2)CCCCC3c2ccc(F)c(F)c2F)ccn1";"GIDDAGWISFCFQW-CBPFSQIZSA-N"
"CHEMBL4168440";"";"";"Small molecule";"";"388.45";"3";"7";"5.67";"80.95";"6";"1";"1";"5";"N";"0.27";"None";"3.97";"6.33";"6.33";"4";"MOL";"-1";"28";"6";"1";"1";"388.0994";"-1.96";"NEUTRAL";"C21H16N4O2S";"CSc1cccc(Nc2nc(-c3cccc([N+](=O)[O-])c3)nc3ccccc23)c1";"BVFBJTICMBXYKP-UHFFFAOYSA-N"
"CHEMBL4473883";"";"";"Unknown";"";"601.96";"2";"3";"8.20";"78.79";"4";"3";"2";"9";"N";"0.23";"None";"None";"7.19";"7.19";"0";"MOL";"-1";"43";"5";"3";"2";"601.5070";"2.35";"NEUTRAL";"C38H67NO4";"CCCCCCCC(=O)N[C@H]1CC[C@]2(C)[C@H]3C[C@@H](O)[C@@H]4[C@@H]([C@]5(C)CC[C@H](C(C)(C)O)O5)CC[C@@]4(C)[C@]3(C)CC[C@H]2C1(C)C";"GBQQFFGZCVMFPA-NUKIQNDWSA-N"
"CHEMBL4578134";"";"";"Unknown";"";"448.47";"2";"4";"5.25";"54.56";"3";"1";"1";"4";"N";"0.46";"None";"None";"4.81";"4.81";"4";"MOL";"-1";"33";"5";"1";"1";"448.1598";"-0.94";"NEUTRAL";"C26H22F2N2O3";"COc1ccc(C(=O)N2CCc3c([nH]c4ccccc34)C2c2ccc(F)c(F)c2)cc1OC";"WLRAQTWZGSZEJX-UHFFFAOYSA-N"
"CHEMBL2449442";"";"";"Small molecule";"";"368.48";"1";"1";"2.76";"53.01";"5";"1";"0";"7";"N";"0.76";"None";"6.76";"3.01";"2.92";"2";"MOL";"-1";"27";"5";"1";"0";"368.2100";"-1.34";"NEUTRAL";"C22H28N2O3";"CC(=O)c1cccc(OC[C@H](O)CN2CCN(c3ccccc3C)CC2)c1";"CHFFKXISONCMED-HXUWFJFHSA-N"
"CHEMBL4519189";"";"";"Unknown";"";"340.43";"3";"7";"2.27";"58.56";"6";"0";"0";"7";"N";"0.57";"None";"6.62";"1.95";"1.88";"2";"MOL";"-1";"25";"6";"0";"0";"340.1899";"-1.61";"NEUTRAL";"C19H24N4O2";"CC(=O)c1ccc(OCCCN2CCN(c3ncccn3)CC2)cc1";"JMYOMNNOATYHGH-UHFFFAOYSA-N"
"CHEMBL2449345";"";"";"Small molecule";"";"458.60";"1";"1";"4.06";"53.01";"5";"1";"0";"11";"N";"0.44";"None";"7.53";"4.61";"4.24";"3";"MOL";"-1";"34";"5";"1";"0";"458.2569";"-0.73";"NEUTRAL";"C29H34N2O3";"O=C(CCc1ccccc1)c1ccccc1OC[C@H](O)CN1CCN(Cc2ccccc2)CC1";"FLEXENSQDQMATB-AREMUKBSSA-N"
"CHEMBL2316432";"";"";"Small molecule";"";"720.90";"2";"6";"7.28";"125.78";"11";"0";"3";"16";"N";"0.13";"None";"11.21";"6.99";"3.67";"2";"MOL";"-1";"52";"11";"0";"3";"720.3986";"0.23";"BASE";"C41H56N2O9";"COc1ccc(C(C#N)(CCC(=O)O[C@H]2CC[C@@H](N(C)[C@H]3CC[C@H](OC(=O)/C=C/c4cc(OC)c(OC)c(OC)c4)CC3)CC2)C(C)C)cc1OC";"WOHMJNKGVJONJX-PBYNSRTCSA-N"
"CHEMBL2181052";"EUPHOMELLIFERINE";"Euphomelliferine";"Small molecule";"";"598.69";"3";"11";"4.14";"142.50";"10";"1";"1";"5";"N";"0.30";"12.67";"None";"4.40";"4.40";"1";"MOL";"-1";"43";"10";"1";"1";"598.2778";"2.34";"NEUTRAL";"C33H42O10";"CC(=O)O[C@H]1[C@H](OC(C)=O)/C(C)=C\[C@H]2[C@@H](OC(=O)c3ccccc3)[C@H](C)C[C@]2(O)C(=O)[C@@H](C)/C=C/C(C)(C)[C@@H]1OC(C)=O";"GSKSGARIFBGQBN-FTXQXWJMSA-N"
"CHEMBL4860314";"";"";"Unknown";"";"424.57";"3";"3";"2.94";"57.62";"8";"0";"0";"4";"N";"0.64";"None";"7.50";"3.90";"3.54";"3";"MOL";"-1";"30";"7";"0";"0";"424.2045";"-1.88";"NEUTRAL";"C22H28N6OS";"Cc1nsc(N2CCCN(Cc3cc4ccccc4nc3N3CCOCC3)CC2)n1";"GARHYSIXHOTWRK-UHFFFAOYSA-N"
"CHEMBL195269";"";"";"Small molecule";"";"300.35";"2";"5";"4.16";"44.76";"4";"0";"0";"0";"N";"0.53";"None";"None";"3.83";"3.83";"1";"MOL";"-1";"22";"4";"0";"0";"300.1362";"1.66";"NEUTRAL";"C18H20O4";"CC1=C2COc3ccccc3[C@@H]3OC(=O)O[C@@]3(CC1)C2(C)C";"FELPGZUEPZFTPM-MAUKXSAKSA-N"
"CHEMBL4562010";"";"";"Unknown";"";"613.75";"3";"4";"7.31";"83.53";"8";"0";"2";"17";"N";"0.05";"None";"8.92";"7.76";"6.23";"4";"MOL";"-1";"45";"8";"0";"2";"613.3040";"-0.06";"BASE";"C37H43NO7";"COc1cc(/C=C/C(=O)OCCN(C)CCCCCCCOC(=O)c2c3ccccc3cc3ccccc23)cc(OC)c1OC";"UTIHOOAPOVGQDM-VHEBQXMUSA-N"
"CHEMBL224966";"";"";"Small molecule";"";"303.35";"1";"1";"1.55";"84.30";"6";"2";"0";"3";"N";"0.84";"7.16";"None";"1.81";"1.43";"2";"MOL";"-1";"21";"7";"2";"0";"303.0790";"-1.67";"NEUTRAL";"C13H13N5O2S";"COc1ccc(-n2c(C3=NNC(=O)CC3)n[nH]c2=S)cc1";"WWAHXPRCKSTWNP-UHFFFAOYSA-N"
"CHEMBL89317";"";"";"Small molecule";"";"522.69";"1";"1";"7.29";"61.46";"5";"1";"2";"11";"N";"0.17";"12.14";"5.91";"7.67";"7.65";"4";"MOL";"-1";"39";"6";"1";"2";"522.2995";"-0.63";"NEUTRAL";"C33H38N4O2";"CCN(CC)c1ccc(-c2[nH]c(-c3ccc(/C=C/C(=O)OC)cc3)nc2-c2cccc(N(CC)CC)c2)cc1";"SQYUWZZIJYJJGL-PXLXIMEGSA-N"
