"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL2131986";"";"";"Small molecule";"";"419.46";"2";"2";"3.71";"66.88";"6";"0";"0";"3";"N";"0.51";"None";"2.51";"3.66";"3.66";"4";"MOL";"-1";"31";"7";"0";"0";"419.1758";"-2.13";"NEUTRAL";"C23H22FN5O2";"Cc1nc2cc(-c3ccc(F)cc3)nn2c(N2CCN(C(=O)c3ccco3)CC2)c1C";"MCHKLISZOANECM-UHFFFAOYSA-N"
"CHEMBL595290";"";"";"Small molecule";"";"582.70";"6";"7";"6.25";"81.75";"5";"2";"2";"8";"N";"0.21";"12.44";"6.37";"7.08";"7.04";"5";"MOL";"-1";"44";"7";"2";"2";"582.2631";"-1.17";"NEUTRAL";"C37H34N4O3";"CN1CCN(C(C(=O)Nc2ccc(NC(=O)c3ccc4ccccc4c3)cc2C(=O)c2ccccc2)c2ccccc2)CC1";"NOJWVQHMJIGYRV-UHFFFAOYSA-N"
"CHEMBL4077332";"";"";"Small molecule";"";"529.58";"1";"2";"4.71";"89.99";"7";"1";"1";"8";"N";"0.53";"None";"None";"3.59";"3.59";"2";"MOL";"-1";"36";"8";"1";"1";"529.1858";"-1.10";"NEUTRAL";"C24H30F3N3O5S";"COc1cc(C(=O)NC(c2nc(C(=O)N3CCC(C(F)(F)F)CC3)cs2)C(C)C)cc(OC)c1OC";"FLSMRLRBOICREV-UHFFFAOYSA-N"
"CHEMBL5079066";"";"";"Unknown";"";"686.77";"3";"3";"5.40";"130.68";"12";"1";"3";"12";"N";"0.18";"None";"8.46";"5.47";"4.36";"6";"MOL";"-1";"51";"13";"1";"3";"686.2965";"-1.29";"NEUTRAL";"C38H38N8O5";"COc1cc2c(cc1OC)CN(CCc1ccc(-n3nnc(-c4cc(OC)c(OC)cc4NC(=O)c4ccc(-n5ccnc5)cc4)n3)cc1)CC2";"DSUWWKJTWPTXFS-UHFFFAOYSA-N"
"CHEMBL254219";"DIGITOXIN";"CRISTAPURAT|CRYSTODIGIN|Crystodigin|DIGIMERCK|DIGITALIN, CRYSTALLINE|DIGITOPHYLLIN|DIGITOXIN|DIGITOXINUM|DIGITOXOSIDE|GLUCODIGIN|LANATOXIN|NATIVELLE DIGITALINE|NSC-7529|PURPURID|TRADIGAL";"Small molecule";"4.0";"764.95";"241";"1088";"3.25";"182.83";"13";"5";"2";"7";"N";"0.19";"7.18";"0.24";"3.60";"3.18";"0";"MOL";"0";"54";"13";"5";"2";"764.4347";"2.20";"NEUTRAL";"C41H64O13";"C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O";"WDJUZGPOPHTGOT-XUDUSOBPSA-N"
"CHEMBL1229";"OSELTAMIVIR";"GS 4104|GS-4071 ETHYL ESTER|GS-4104|GS4104|OSELTAMIVIR|Oseltamivir Carboxylate|RO 640796|RO-64-0796|RO-640796|RO64-0796";"Small molecule";"4.0";"312.41";"70";"1188";"1.29";"90.65";"5";"2";"0";"7";"N";"0.69";"None";"9.31";"1.16";"-0.72";"0";"MOL";"0";"22";"6";"3";"0";"312.2049";"1.02";"BASE";"C16H28N2O4";"CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1";"VSZGPKBBMSAYNT-RRFJBIMHSA-N"
"CHEMBL2372493";"";"";"Protein";"";"1190.58";"2";"2";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"BOTH";"-1";"None";"None";"None";"None";"1189.8050";"None";"None";"C60H107N11O13";"C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H]([C@@H](C)O)C(=O)N(C)CC(=O)N[C@@H](C(C)C)C(=O)N[C@H](C(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C";"IMJWIFHWHLWFDD-QNBKEXRESA-N"
"CHEMBL5204503";"";"";"";"";"397.43";"7";"9";"2.90";"108.99";"6";"3";"0";"3";"N";"0.73";"3.86";"None";"2.73";"-0.59";"2";"MOL";"0";"29";"7";"3";"0";"397.1525";"1.36";"ACID";"C22H23NO6";"C[C@H]1O[C@H](CC(=O)O)Cc2c1c(O)c1c3c(c4n(c23)[C@@H]([C@@H](C)O)CC4)C=CC1=O";"AWMWNWIBOOYESP-NJBDSQKTSA-N"
"CHEMBL1651956";"ALISPORIVIR";"(D-MEALA)3-(ETVAL)4-CSA|ALISPORIVIR|DEB 025|DEB-025|DEB025|DEBIO 025|DEBIO-025|Debio 025|UNIL 025|UNIL-025";"Protein";"3.0";"1216.66";"49";"154";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"BOTH";"0";"None";"None";"None";"None";"1215.8570";"None";"None";"C63H113N11O12";"C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)[C@H](C)C(=O)N(CC)[C@@H](C(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C";"OLROWHGDTNFZBH-XEMWPYQTSA-N"
"CHEMBL2074921";"DESMETHYLAZELASTINE";"Desmethylazelastine";"Small molecule";"";"367.88";"1";"2";"3.96";"46.92";"4";"1";"0";"3";"N";"0.76";"None";"10.37";"3.66";"0.88";"3";"MOL";"-1";"26";"4";"1";"0";"367.1451";"-0.89";"BASE";"C21H22ClN3O";"O=c1c2ccccc2c(Cc2ccc(Cl)cc2)nn1C1CCCNCC1";"WRYCMIFVXDQIKN-UHFFFAOYSA-N"
"CHEMBL575668";"";"";"Small molecule";"";"327.48";"1";"1";"4.10";"51.80";"5";"1";"0";"4";"N";"0.58";"None";"3.58";"5.42";"5.42";"3";"MOL";"-1";"22";"3";"2";"0";"327.0864";"-2.13";"NEUTRAL";"C17H17N3S2";"Nc1nc(SCCc2ccccc2)nc2sc3c(c12)CCC3";"FKDYGVAQWVNMSS-UHFFFAOYSA-N"
"CHEMBL649";"NADOLOL";"Corgard|NADOLOL|NSC-758430|SOLGOL|SQ 11725|SQ-11725";"Small molecule";"4.0";"309.41";"153";"634";"0.63";"81.95";"5";"4";"0";"5";"N";"0.64";"13.59";"9.76";"0.87";"-1.44";"1";"MOL";"0";"22";"5";"4";"0";"309.1940";"0.26";"BASE";"C17H27NO4";"CC(C)(C)NCC(O)COc1cccc2c1C[C@H](O)[C@H](O)C2";"VWPOSFSPZNDTMJ-UCWKZMIHSA-N"
"CHEMBL510533";"GLYCEROL MONOLAURATE";"Glycerol Monolaurate";"Small molecule";"";"274.40";"79";"111";"2.80";"66.76";"4";"2";"0";"13";"N";"0.40";"13.62";"None";"3.30";"3.30";"0";"MOL";"-1";"19";"4";"2";"0";"274.2144";"0.85";"NEUTRAL";"C15H30O4";"CCCCCCCCCCCC(=O)OCC(O)CO";"ARIWANIATODDMH-UHFFFAOYSA-N"
"CHEMBL5187744";"";"";"";"";"460.92";"6";"9";"4.13";"76.46";"6";"1";"0";"4";"N";"0.50";"13.67";"0.99";"4.60";"4.60";"4";"MOL";"0";"33";"7";"1";"0";"460.1302";"-1.92";"NEUTRAL";"C25H21ClN4O3";"O=C(Nc1ccc(N2CCOCC2)cc1)c1nn(-c2ccc(Cl)cc2)c(=O)c2ccccc12";"MBTBGWWJTWUHIO-UHFFFAOYSA-N"
"CHEMBL248480";"";"";"Small molecule";"";"541.66";"1";"2";"6.73";"86.36";"4";"3";"2";"7";"N";"0.21";"11.02";"9.15";"6.27";"4.60";"5";"MOL";"-1";"41";"7";"3";"2";"541.2478";"-1.41";"BASE";"C34H31N5O2";"O=C(Nc1ccc(CCN2CCc3ccccc3C2)cc1)Nc1ccccc1NC(=O)c1cnc2ccccc2c1";"ZITINVMPJYNKEP-UHFFFAOYSA-N"
"CHEMBL498485";"ICARITIN";"ICARITIN|SGN-162|SGN162";"Small molecule";"3.0";"368.39";"16";"50";"4.09";"100.13";"6";"3";"0";"4";"N";"0.60";"6.22";"None";"4.33";"3.06";"3";"MOL";"0";"27";"6";"3";"0";"368.1260";"1.78";"ACID";"C21H20O6";"COc1ccc(-c2oc3c(CC=C(C)C)c(O)cc(O)c3c(=O)c2O)cc1";"TUUXBSASAQJECY-UHFFFAOYSA-N"
"CHEMBL5077462";"";"";"Unknown";"";"629.68";"4";"6";"4.70";"137.50";"11";"1";"2";"9";"N";"0.24";"11.44";"8.39";"4.62";"3.58";"6";"MOL";"-1";"47";"12";"1";"2";"629.2387";"-1.10";"NEUTRAL";"C35H31N7O5";"COc1cc(NC(=O)c2cc(=O)c3ccccc3o2)c(-c2nnn(-c3ccc(CCN4CCc5cnccc5C4)cc3)n2)cc1OC";"HPVPHZAVNPALGM-UHFFFAOYSA-N"
"CHEMBL3612140";"";"";"Small molecule";"";"407.50";"3";"4";"1.16";"74.57";"6";"2";"0";"4";"N";"0.68";"9.34";"8.28";"2.90";"2.19";"3";"MOL";"-1";"29";"6";"2";"0";"407.1304";"-0.64";"NEUTRAL";"C22H21N3O3S";"CN(C)CCn1c(=O)/c(=C/c2ccc(O)cc2)s/c1=C1/C(=O)Nc2ccccc21";"ANNKVZXRHJWDKI-JXOBNOEMSA-N"
"CHEMBL4556397";"";"";"Unknown";"";"660.90";"3";"3";"7.79";"126.68";"6";"2";"2";"5";"N";"0.24";"3.69";"0.89";"6.90";"0.95";"1";"MOL";"-1";"48";"8";"2";"2";"660.4138";"2.22";"ACID";"C40H56N2O6";"CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)Cc6nccnc6[C@@](C)(COC(=O)C6CCCCC6C(=O)O)[C@@H]5CC[C@]43C)[C@@H]2C1";"PDDHRNNVTPYJSX-WXKXGWHVSA-N"
"CHEMBL5088790";"";"";"Unknown";"";"390.37";"7";"8";"1.93";"67.40";"7";"1";"0";"2";"N";"0.92";"None";"7.59";"2.53";"2.12";"2";"MOL";"-1";"21";"5";"2";"0";"317.0769";"-1.08";"NEUTRAL";"C14H17Cl2N5S2";"Cl.Cl.NC1=N[C@@]2(c3cccs3)CN(c3ncccn3)C[C@H]2CS1";"LSGLQMSNAUWSBD-UROSVOJDSA-N"
"CHEMBL5093835";"";"";"Unknown";"";"371.89";"7";"9";"2.07";"67.40";"7";"1";"0";"2";"N";"0.91";"None";"7.59";"2.67";"2.27";"2";"MOL";"-1";"22";"5";"2";"0";"335.0675";"-1.12";"NEUTRAL";"C14H15ClFN5S2";"Cl.NC1=N[C@@]2(c3cccs3)CN(c3ncc(F)cn3)C[C@H]2CS1";"WWZSBINBHKTCQF-HDWCWOBCSA-N"
"CHEMBL221986";"";"";"Small molecule";"";"398.50";"1";"1";"2.77";"62.24";"6";"1";"0";"8";"N";"0.69";"None";"6.73";"2.86";"2.77";"2";"MOL";"-1";"29";"6";"1";"0";"398.2206";"-1.14";"NEUTRAL";"C23H30N2O4";"COc1ccc(OCC(O)CN2CCN(c3ccccc3C)CC2)c(C(C)=O)c1";"CAQSWUZBWKAERC-UHFFFAOYSA-N"
"CHEMBL5076013";"";"";"Unknown";"";"468.55";"3";"4";"3.69";"60.03";"5";"1";"0";"4";"N";"0.63";"None";"7.80";"3.77";"3.23";"3";"MOL";"-1";"35";"6";"1";"0";"468.2049";"0.87";"NEUTRAL";"C29H28N2O4";"COc1c2c(cc3c1[C@H](c1ccccc1)[C@H]1C(=O)N4C[C@H](Cc5ccccc5)NC[C@@H]4[C@@H]31)OCO2";"ZTZYEKPSSYGCJU-MVZYNSITSA-N"
"CHEMBL5087775";"";"";"Unknown";"";"453.54";"4";"6";"3.73";"82.15";"7";"1";"0";"4";"N";"0.76";"12.63";"5.12";"2.59";"2.59";"2";"MOL";"-1";"33";"8";"1";"0";"453.2264";"-0.05";"NEUTRAL";"C25H31N3O5";"CC(C)O[C@H]1CC[C@H](C(=O)N2Cc3cccnc3Nc3ccc(C4COCCO4)cc32)OC1";"TUICWOOCJAYCCE-BEUBQONESA-N"
"CHEMBL3824085";"";"";"Small molecule";"";"550.36";"1";"2";"6.74";"99.11";"7";"1";"2";"4";"N";"0.20";"5.31";"None";"8.56";"6.82";"5";"MOL";"-1";"39";"7";"1";"2";"550.0487";"0.28";"ACID";"C26H12F6O7";"O=c1c(-c2ccc(OC(F)(F)F)cc2)coc2cc3occ(-c4ccc(OC(F)(F)F)cc4)c(=O)c3c(O)c12";"DXGSMCYNNNOXLE-UHFFFAOYSA-N"
"CHEMBL2449495";"";"";"Small molecule";"";"419.52";"1";"1";"3.73";"59.00";"5";"1";"0";"9";"N";"0.54";"None";"5.88";"3.81";"3.80";"3";"MOL";"-1";"31";"5";"1";"0";"419.2097";"-0.88";"NEUTRAL";"C26H29NO4";"O=C(CCc1cccc2ccccc12)c1ccc(OC[C@H](O)CN2CCOCC2)cc1";"HDIDFSZUKXZZDU-HSZRJFAPSA-N"
"CHEMBL1144";"PRAVASTATIN";"C10AA03|PRAVASTATIN|PRAVATOR|Pravachol|Pravastatin";"Small molecule";"4.0";"424.53";"156";"1448";"2.44";"124.29";"6";"4";"0";"10";"N";"0.40";"4.21";"None";"1.65";"-1.38";"0";"MOL";"0";"30";"7";"4";"0";"424.2461";"2.18";"ACID";"C23H36O7";"CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21";"TUZYXOIXSAXUGO-PZAWKZKUSA-N"
"CHEMBL4465534";"";"";"Unknown";"";"511.58";"7";"17";"2.65";"136.63";"9";"2";"1";"5";"N";"0.63";"13.52";"8.09";"1.32";"0.55";"2";"MOL";"-1";"34";"9";"3";"1";"511.1160";"-1.25";"NEUTRAL";"C21H23F2N5O4S2";"C[C@]1(c2cc(NC(=O)c3cnc(OCF)cn3)ccc2F)N=C(N)SCC12CCS(=O)(=O)CC2";"DZTJZUAOGBUBNK-HXUWFJFHSA-N"
"CHEMBL3218370";"";"";"Small molecule";"";"451.47";"2";"4";"1.39";"134.30";"9";"1";"0";"10";"N";"0.41";"None";"None";"1.26";"1.26";"1";"MOL";"-1";"32";"10";"1";"0";"451.1842";"0.01";"NEUTRAL";"C22H29NO9";"CC(=O)OC[C@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](CNC(=O)c1ccc(C)c(C)c1)OC(C)=O";"MSJLXLUWRZXQEQ-QHAWAJNXSA-N"
"CHEMBL376901";"";"";"Small molecule";"";"212.25";"1";"1";"0.60";"58.92";"4";"2";"0";"5";"N";"0.75";"None";"None";"0.55";"0.55";"1";"MOL";"-1";"15";"4";"2";"0";"212.1049";"0.79";"NEUTRAL";"C11H16O4";"COc1ccc(CC(O)CO)cc1OC";"NZKYZDCTLPYISK-UHFFFAOYSA-N"
"CHEMBL4849178";"";"";"Unknown";"";"575.84";"2";"2";"6.12";"75.55";"5";"1";"2";"2";"N";"0.43";"None";"1.49";"4.55";"4.55";"1";"MOL";"-1";"42";"6";"1";"2";"575.4087";"1.94";"NEUTRAL";"C36H53N3O3";"CC1(C)CC[C@]2(C(=O)N3CCOCC3)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)Cc6nccnc6[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]2C1";"BGIHBAGFTLNWGA-XTIFVHJISA-N"
"CHEMBL1118";"DESVENLAFAXINE";"D-VENIZ|DESVENLAFAXINE|KHEDEZLA|MDD-XR|NEWVEN|O-DESMETHYLVENLAFAXINE|ODV|Pristiq";"Small molecule";"4.0";"263.38";"23";"68";"2.73";"43.70";"3";"2";"0";"4";"N";"0.88";"10.11";"8.87";"2.29";"1.07";"1";"MOL";"0";"19";"3";"2";"0";"263.1885";"0.44";"BASE";"C16H25NO2";"CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1";"KYYIDSXMWOZKMP-UHFFFAOYSA-N"
"CHEMBL1492652";"";"";"Small molecule";"";"366.45";"31";"46";"3.68";"79.78";"4";"2";"0";"4";"N";"0.58";"7.82";"5.41";"3.51";"3.38";"4";"MOL";"-1";"26";"6";"2";"0";"366.1150";"-1.90";"NEUTRAL";"C19H18N4O2S";"Cc1ccc(S(=O)(=O)Nc2ccc3[nH]c(-c4cccn4C)nc3c2)cc1";"QVQGHWGGPSPHNZ-UHFFFAOYSA-N"
"CHEMBL5198002";"";"";"";"";"473.96";"6";"9";"4.04";"70.47";"6";"1";"0";"4";"N";"0.48";"13.68";"7.85";"4.67";"4.08";"4";"MOL";"0";"34";"7";"1";"0";"473.1619";"-1.80";"NEUTRAL";"C26H24ClN5O2";"CN1CCN(c2ccc(NC(=O)c3nn(-c4ccc(Cl)cc4)c(=O)c4ccccc34)cc2)CC1";"NYXWKIBPHYYZHO-UHFFFAOYSA-N"
"CHEMBL4076725";"";"";"Small molecule";"";"451.54";"1";"2";"4.59";"80.32";"5";"2";"0";"7";"N";"0.65";"None";"None";"3.55";"3.55";"2";"MOL";"-1";"31";"6";"2";"0";"451.1741";"-0.96";"NEUTRAL";"C22H27F2N3O3S";"COc1ccc(C(=O)NC(c2nc(C(=O)NC3CCC(F)(F)CC3)cs2)C(C)C)cc1";"VKGSTMDZXHGHQH-UHFFFAOYSA-N"
"CHEMBL3263822";"";"";"Small molecule";"";"631.82";"1";"1";"5.90";"140.77";"10";"3";"2";"12";"N";"0.22";"12.71";"None";"5.02";"5.02";"3";"MOL";"-1";"43";"11";"3";"3";"631.2498";"-0.87";"NEUTRAL";"C30H41N5O6S2";"COc1ccc(CNC(=O)c2csc([C@@H](NC(=O)c3csc([C@@H](NC(=O)OC(C)(C)C)C(C)C)n3)C(C)C)n2)c(OC)c1";"VRRVKYGPIOCODO-ZEQRLZLVSA-N"
"CHEMBL5219238";"";"";"";"";"751.83";"8";"55";"6.19";"150.66";"14";"0";"3";"23";"N";"0.05";"None";"10.08";"5.45";"2.83";"4";"MOL";"0";"54";"14";"0";"3";"751.3204";"-0.07";"BASE";"C40H49NO13";"COc1cc(C(=O)OCCCCCN(CCCOC(=O)c2cc(OC)c(OC)c(OC)c2)CCCOc2ccc3ccc(=O)oc3c2)cc(OC)c1OC";"ISKFBHCVCONJQR-UHFFFAOYSA-N"
"CHEMBL4098822";"";"";"Small molecule";"";"374.78";"16";"44";"3.53";"51.02";"4";"0";"0";"2";"N";"0.69";"None";"1.43";"3.26";"3.26";"3";"MOL";"-1";"26";"5";"0";"0";"374.0746";"-1.96";"NEUTRAL";"C18H13ClF2N4O";"O=C(c1cc(F)cc(Cl)c1)N1CCn2nc(-c3ccc(F)cn3)cc2C1";"PAVOURBCAONWKJ-UHFFFAOYSA-N"
"CHEMBL5076351";"";"";"Unknown";"";"318.32";"4";"11";"3.23";"65.21";"3";"1";"0";"2";"N";"0.92";"None";"0.95";"3.54";"3.54";"2";"MOL";"-1";"23";"4";"2";"0";"318.1180";"-0.19";"NEUTRAL";"C17H16F2N2O2";"CC1(C)CCc2c(-c3ccc(F)cc3F)cc(C(N)=O)nc2O1";"IDHJIKSQWCGDIP-UHFFFAOYSA-N"
"CHEMBL5094781";"";"";"Unknown";"";"694.75";"3";"3";"5.49";"142.43";"12";"1";"3";"10";"N";"0.20";"11.44";"9.23";"5.56";"3.71";"7";"MOL";"-1";"52";"13";"1";"3";"694.2652";"-1.34";"BASE";"C39H34N8O5";"COc1cc(NC(=O)c2cc(=O)c3ccccc3o2)c(-c2nnn(-c3ccc(CCN4CCc5cc(-n6ccnc6)ccc5C4)cc3)n2)cc1OC";"NHXOEDKYWHRXHY-UHFFFAOYSA-N"
"CHEMBL4879245";"";"";"Unknown";"";"368.51";"3";"3";"4.26";"66.83";"7";"1";"0";"8";"N";"0.64";"None";"6.13";"3.91";"3.89";"3";"MOL";"-1";"26";"6";"1";"0";"368.1783";"-1.61";"NEUTRAL";"C19H24N6S";"CCN(c1ccccc1)c1cc(NCCc2nnc(C(C)C)s2)ncn1";"LMKXMZWSBUBRSX-UHFFFAOYSA-N"
"CHEMBL1314";"TIOPRONIN";"ACADIONE|CAPTIMER|NSC-760416|THIOLA|THIOLA EC|TIOPRONIN|Tiopronin";"Small molecule";"4.0";"163.20";"27";"1528";"-0.49";"66.40";"3";"3";"0";"3";"N";"0.49";"3.86";"None";"-0.53";"-3.77";"0";"MOL";"0";"10";"4";"2";"0";"163.0303";"-0.01";"ACID";"C5H9NO3S";"CC(S)C(=O)NCC(=O)O";"YTGJWQPHMWSCST-UHFFFAOYSA-N"
"CHEMBL4538822";"";"";"Unknown";"";"397.48";"2";"4";"4.00";"37.83";"6";"0";"0";"4";"N";"0.67";"None";"5.90";"4.18";"4.17";"3";"MOL";"-1";"28";"5";"0";"0";"397.1260";"-1.99";"NEUTRAL";"C21H20FN3O2S";"Fc1ccccc1N1CCN(Cc2csc(-c3ccc4c(c3)OCO4)n2)CC1";"CIXGFQNLXZKQAX-UHFFFAOYSA-N"
"CHEMBL514912";"";"";"Small molecule";"";"338.41";"14";"18";"1.85";"54.70";"5";"1";"0";"4";"N";"0.74";"None";"6.20";"2.29";"2.27";"3";"MOL";"-1";"25";"5";"1";"0";"338.1630";"-0.83";"NEUTRAL";"C20H22N2O3";"O=c1c2ccccc2n(CC(O)CN2CCOCC2)c2ccccc12";"OBBKJJKSBDHHDY-UHFFFAOYSA-N"
"CHEMBL83";"TAMOXIFEN";"ICI-46474|ICI-47699|MAMMATON|NOVALDEX|NSC-727681|Nolvadex|Soltamox|TAMOPLEX|TAMOXIFEN|Tamoxifen";"Small molecule";"4.0";"371.52";"326";"3934";"6.00";"12.47";"2";"0";"1";"8";"N";"0.45";"None";"8.76";"6.35";"4.97";"3";"MOL";"0";"28";"2";"0";"1";"371.2249";"-0.40";"BASE";"C26H29NO";"CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1";"NKANXQFJJICGDU-QPLCGJKRSA-N"
"CHEMBL85";"RISPERIDONE";"LY-03004|LY03004|N05AX08|NSC-759895|PERSERIS|PERSERIS KIT|R 64 766|R-64,766|R-64-766|R-64766|RCN-3028|RCN3028|RISPERDAL CONSTA|RISPERDAL QUICKLET|RISPERIDONE|Risperdal|Risperdal Consta Long Acting|Risperdal M|Risperdal M-TAB";"Small molecule";"4.0";"410.49";"214";"1366";"3.59";"64.16";"6";"0";"0";"4";"N";"0.66";"None";"8.76";"2.63";"1.25";"3";"MOL";"0";"30";"6";"0";"0";"410.2118";"-1.47";"BASE";"C23H27FN4O2";"Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2";"RAPZEAPATHNIPO-UHFFFAOYSA-N"
"CHEMBL58";"MITOXANTRONE";"MISOSTOL|MITOXANTRONE|MITOXANTRONE HYDROCHLORIDE|NSC-279836|Novantrone";"Small molecule";"4.0";"444.49";"341";"1747";"-0.14";"163.18";"10";"8";"1";"12";"N";"0.14";"8.21";"9.22";"0.75";"-1.09";"2";"MOL";"0";"32";"10";"8";"1";"444.2009";"0.22";"BASE";"C22H28N4O6";"O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21";"KKZJGLLVHKMTCM-UHFFFAOYSA-N"
"CHEMBL5219141";"";"";"";"";"777.86";"6";"12";"6.59";"150.66";"14";"0";"3";"24";"N";"0.03";"None";"10.08";"5.99";"3.37";"4";"MOL";"0";"56";"14";"0";"3";"777.3360";"0.05";"BASE";"C42H51NO13";"COc1cc(/C=C/C(=O)OCCCCCN(CCCOC(=O)c2cc(OC)c(OC)c(OC)c2)CCCOc2ccc3ccc(=O)oc3c2)cc(OC)c1OC";"UDWUBXLPCAHAQN-FOWTUZBSSA-N"
"CHEMBL5219651";"";"";"";"";"765.85";"8";"55";"6.58";"150.66";"14";"0";"3";"24";"N";"0.04";"None";"10.08";"5.90";"3.27";"4";"MOL";"0";"55";"14";"0";"3";"765.3360";"-0.07";"BASE";"C41H51NO13";"COc1cc(C(=O)OCCCCCCN(CCCOC(=O)c2cc(OC)c(OC)c(OC)c2)CCCOc2ccc3ccc(=O)oc3c2)cc(OC)c1OC";"IOPOLXYULUWSMW-UHFFFAOYSA-N"
"CHEMBL729";"LOPINAVIR";"A-157378-0|A-157378.0|ABT-378|ALUVIRAN|KOLETRA|Kaletra|LOPINAVIR|LOPINAVIR, (S-(2S,4S,5S))-|LOPINAVIR-|LOPINAVIRUM";"Small molecule";"4.0";"628.81";"68";"842";"4.33";"120.00";"5";"4";"1";"15";"N";"0.20";"13.39";"None";"4.69";"4.69";"3";"MOL";"0";"46";"9";"4";"1";"628.3625";"-0.04";"NEUTRAL";"C37H48N4O5";"Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCCNC1=O";"KJHKTHWMRKYKJE-SUGCFTRWSA-N"
"CHEMBL4640449";"";"";"Unknown";"";"548.68";"1";"3";"7.39";"52.93";"5";"0";"2";"5";"N";"0.24";"None";"None";"7.11";"7.11";"4";"MOL";"-1";"41";"6";"0";"2";"548.2675";"-0.08";"NEUTRAL";"C35H36N2O4";"COc1cc2c(cc1OC)CN(C(=O)/C=C/c1c3n(c4ccccc14)C(C1CCCCC1)Oc1ccccc1-3)CC2";"PDHWPNITXZCDIA-WUKNDPDISA-N"
"CHEMBL5084182";"";"";"Unknown";"";"463.58";"4";"5";"4.03";"79.82";"7";"1";"0";"4";"N";"0.73";"11.51";"5.25";"2.98";"2.98";"2";"MOL";"-1";"34";"8";"1";"0";"463.2583";"-0.20";"NEUTRAL";"C26H33N5O3";"CC(C)O[C@H]1CC[C@H](C(=O)N2Cc3cncnc3Nc3ccc(N4C[C@@H]5C[C@H]4CO5)cc32)CC1";"VFPFQRUMTLFESI-MQGJPIDWSA-N"
"CHEMBL573524";"";"";"Small molecule";"";"300.31";"26";"40";"3.01";"75.99";"5";"2";"0";"5";"N";"0.66";"7.12";"None";"3.62";"3.15";"2";"MOL";"-1";"22";"5";"2";"0";"300.0998";"0.58";"NEUTRAL";"C17H16O5";"COc1ccc(/C=C/C(=O)c2ccc(O)cc2O)cc1OC";"ZMMIEHPFMMRMMN-XVNBXDOJSA-N"
"CHEMBL3814565";"";"";"Small molecule";"";"366.51";"2";"4";"4.81";"49.41";"2";"1";"0";"2";"N";"0.78";"10.55";"None";"5.93";"5.93";"2";"MOL";"-1";"27";"4";"1";"0";"366.2307";"-0.77";"NEUTRAL";"C23H30N2O2";"Cc1cc(C)cc(C(=O)N(NC(=O)c2ccc(C)c(C)c2C)C(C)(C)C)c1";"JTMVJCYHEGXYBB-UHFFFAOYSA-N"
